NAME,DriveAlone,Carpool,Bus,Subway,LongDistanceRail,LightRail,Ferry,Taxi,Motorcycle,Bicycle,Walked,Other,WorkFromHome
Louisiana,0.8212048218959366,0.08777601362666765,0.010705608847849048,5.3352672030256896e-05,0.00016005801609077067,0.0007217430910759752,0.0001155974560655566,0.0010952117952877734,0.0008022661053438629,0.003671454245637678,0.02125461772316484,0.013080296759417982,0.039358957765432016
Maine,0.7847970738161018,0.09531499280127631,0.005110944155264946,0.0002828604525168594,0.0004190525222471991,0.0,0.0005582378242793045,0.0007123892878202385,0.0008051794891749754,0.002711868465399731,0.03806493518155451,0.008342138425021028,0.0628803275793431
Maryland,0.7389018569986155,0.08692352631962444,0.037356288188697705,0.03360475283390063,0.007903824334592845,0.0012770768926500743,0.00017988372940282504,0.004218322247551239,0.0005620959935046685,0.0030886003809761733,0.022082435541121485,0.008769087843112762,0.055132248696249574
Massachusetts,0.6962334394866808,0.07284357626531024,0.029504362020031392,0.050989348648448764,0.021157261194146803,0.0015913379308372863,0.0010076457354040523,0.0032698310316945137,0.0004322016633165539,0.008866732596665943,0.049916542738613394,0.009750381544439102,0.054437339144411165
Michigan,0.8177675345414299,0.08877311028912595,0.013646907921336807,0.00015057414436027975,8.965810875013807e-05,4.8046450622083566e-05,6.348995260775329e-05,0.0013570977369907263,0.0005152123856885925,0.003450335735298376,0.02166894923055969,0.0073755591566560955,0.045093524346573634
Minnesota,0.7762337824730736,0.08232031875741384,0.028870999901993585,0.0004991568068834298,0.0007627602661719032,0.003752293857025539,0.00012808424496196338,0.0015498531593550501,0.0007211920283610286,0.006801645155948483,0.026212322447862278,0.007667819086918172,0.06447977181403114
Mississippi,0.8484322631268255,0.0894218552747396,0.0023248224802479163,5.830275812533959e-05,0.0,0.0,7.611748977474892e-05,0.0004291730806448609,0.0011814406125676454,0.0007312137581553008,0.01094634283803251,0.01528261047360464,0.031115858107281933
Missouri,0.8207309288276895,0.08391724011131704,0.009755505223002822,0.0008030111718371873,0.00013926635444933707,0.0007114246776549879,5.4540271816365995e-05,0.0011895953626362091,0.0011179040619467722,0.002409719556666485,0.020782244706077674,0.007771131182388501,0.050617488492517175
Montana,0.7617390121369365,0.09895538776977718,0.009175096444431489,0.0,7.190819073161726e-05,0.0,0.0,0.00012049480609081811,0.0014750896423053378,0.012074745649068595,0.04175922416892595,0.009344177865881508,0.065284863325851
Nebraska,0.8178779307837661,0.08962435631619108,0.008074761202794855,2.796454096206011e-05,0.0,2.2970872933120803e-05,2.2970872933120803e-05,0.0009977348721820732,0.0008209590239576217,0.0031000691123655205,0.027526096909119238,0.005526991774430023,0.046377193718365115
Nevada,0.7697423131652381,0.10620059587813313,0.030455080877486333,7.871121675905538e-05,4.928006614479989e-05,0.0,6.639120022285541e-05,0.002707665856511505,0.002791168190812416,0.0024872744495861502,0.015934572498848422,0.020719530032435866,0.048767416567821346
New Hampshire,0.8035726383464105,0.07828142822577858,0.006940651895890221,0.00017005979744910303,0.0014683211779751824,0.00015070339773944904,1.7973799730393005e-05,0.00015208599771871002,0.0012512529812312052,0.003162006152569908,0.024165082437523765,0.007359579689606305,0.07330821610037676
New Jersey,0.7095597565648373,0.07885042797486753,0.05681156574880108,0.021604802836608646,0.027526241479972874,0.006251450445979623,0.0033317846830190267,0.0037176655159606737,0.00039424987797027585,0.0024419516251102114,0.026865539303523547,0.013468507735938082,0.049176056207411174
New Mexico,0.80731085449329,0.09354765877539332,0.009096165601096958,0.0002125632595970109,0.0011817636142362315,0.0,4.6257289653235534e-05,0.0007918807443018178,0.002108010771340305,0.006695191995286162,0.01995120957305623,0.008293271216401513,0.05076517266634727
New York,0.5276618990177859,0.06265200862032691,0.05682874100852483,0.1904548310958802,0.02765262494847592,0.0005858032123044324,0.0017152258702230196,0.007672146069453346,0.0006118765957361115,0.007274791945529099,0.061942515820767326,0.006981095419150307,0.04796644037584252
North Carolina,0.8017232650297127,0.08736698939155342,0.009187209596205066,0.00046213490937133453,0.0001846919532632152,0.001220749006875725,0.00020656336878122753,0.0013313211631056762,0.0012274319393951176,0.0015731218124437013,0.017812850347674502,0.010619989825741522,0.06708368165587676
North Dakota,0.8254975461786974,0.08489481861451577,0.0063848676909418235,0.0006609287528669018,0.0,0.0,3.205997681817061e-05,0.0017978248538804904,0.001546277343460998,0.0025130089521319884,0.031640730967471456,0.009043379614787048,0.03598855705442797
Ohio,0.8238057861449777,0.08014951748727317,0.014123004469887259,0.000519038663818067,0.00014241805460157923,0.0001923359405737408,3.8646105268770245e-05,0.001607928463196473,0.0006315775536979582,0.002600560833710998,0.022764524091999916,0.007539032119028573,0.04588563007196585
Oklahoma,0.8265176536039568,0.09477978540193621,0.003929615058916241,0.0001611920149505594,4.533525420484483e-05,5.485006064289868e-05,6.772303405908918e-05,0.001128903799150272,0.0014876679713145377,0.002383738859980668,0.01458284010255842,0.010674493434503711,0.04418620140382574
